Country,GDP per capita (EURO),Dwellings without basic facilities,Housing expenditure,Rooms per person,Household net adjusted disposable income,Household net wealth,Labour market insecurity,Employment rate,Long-term unemployment rate,Personal earnings,Quality of support network,Educational attainment,Student skills,Years in education,Air pollution,Water quality,Stakeholder engagement for developing regulations,Voter turnout,Life expectancy,Self-reported health,Feeling safe walking alone at night,Homicide rate,Employees working very long hours,Life satisfaction,University Score,Top University
Australia,4.420717268695914,0.5788027493042321,4.563106796116504,4.666666666666666,6.068008486725156,5.254906693652265,0.8374384236453203,7.727272727272727,0.9259259259259258,7.331552612768519,8.421052631578947,8.076923076923077,7.545454545454545,10.0,0.5504587155963303,8.064516129032258,7.500000000000001,10.0,8.494623655913975,9.272727272727273,4.901960784313725,0.2631578947368421,4.569288389513108,6.190476190476188,8.59848484848485,The University of Melbourne
Austria,3.7866276316355965,0.30888030888030893,5.92233009708738,3.333333333333333,5.94414817363381,2.733538678323997,0.44334975369458124,7.272727272727273,1.2037037037037037,6.941424325646138,7.894736842105264,8.461538461538462,6.8181818181818175,4.0,3.0733944954128436,8.064516129032258,0.5000000000000004,6.279069767441861,7.419354838709674,6.7272727272727275,8.627450980392158,0.11278195488721804,1.8726591760299627,6.666666666666666,4.179292929292928,University of Vienna
Belgium,3.468980066302149,0.2702702702702703,5.145631067961165,6.666666666666666,5.337175296748667,4.321050920201419,0.4926108374384236,4.090909090909091,2.1296296296296293,7.166208946239795,6.842105263157895,7.3076923076923075,7.636363636363637,8.0,3.3486238532110097,3.870967741935484,4.0,9.069767441860465,7.526881720430099,7.272727272727273,2.7450980392156863,0.33834586466165417,1.4981273408239701,4.761904761904761,6.25,KU Leuven
Canada,3.4112885865587463,0.07722007722007723,7.961165048543688,10.0,5.204426859338264,4.673520750638695,1.1822660098522166,6.363636363636363,0.4629629629629629,7.3571347955306425,8.421052631578947,9.615384615384615,9.181818181818182,4.0,0.7339449541284402,7.419354838709678,8.5,4.4186046511627906,7.526881720430099,10.0,7.058823529411765,0.37593984962406013,1.1235955056179776,5.7142857142857135,7.992424242424242,University of Toronto
Denmark,4.6195376070951895,0.19305019305019305,8.349514563106798,5.333333333333332,5.018923103388956,0.8951564689923954,1.5270935960591134,8.181818181818182,0.8333333333333333,7.938000827658854,9.473684210526315,7.6923076923076925,7.727272727272727,8.0,2.0642201834862384,8.387096774193548,4.0,8.372093023255815,6.881720430107524,6.545454545454545,8.431372549019608,0.11278195488721804,0.2996254681647941,8.095238095238095,4.898989898989898,University of Copenhagen
Estonia,1.4298876307745294,2.2007722007722013,2.233009708737865,3.999999999999999,2.154653363151557,1.3411718131389088,1.9704433497536944,8.181818181818182,1.1111111111111112,2.7256310898762277,9.473684210526315,9.423076923076923,10.0,6.0,0.18348623853211024,6.129032258064516,7.500000000000001,3.488372093023256,3.978494623655912,4.181818181818182,7.254901960784314,0.6390977443609023,0.7116104868913858,3.333333333333333,1.4141414141414141,University of Tartu
Finland,3.4337624316528172,0.15444015444015446,8.155339805825244,5.333333333333332,4.932048856012386,1.8175865726876124,0.39408866995073905,7.272727272727273,1.1111111111111112,5.643128550468379,10.0,9.423076923076923,9.09090909090909,10.0,0.0,9.67741935483871,5.000000000000001,4.651162790697675,7.526881720430099,6.181818181818182,9.019607843137255,0.37593984962406013,1.2359550561797754,10.0,4.684343434343433,Aalto University
France,2.76488569337409,0.19305019305019305,5.825242718446601,4.666666666666666,5.191238029703538,2.606993345018439,0.8374384236453203,4.090909090909091,2.685185185185185,5.521048869493247,8.947368421052632,7.5,7.090909090909091,4.0,2.706422018348624,3.548387096774194,4.500000000000001,6.046511627906977,8.38709677419355,6.0,6.2745098039215685,0.07518796992481203,2.7715355805243447,4.2857142857142865,8.068181818181818,Université PSL
Germany,3.3617772420028413,0.038610038610038616,5.145631067961165,4.666666666666666,6.508974138425368,2.672325623842676,0.0,9.545454545454547,1.1111111111111112,7.056732252360709,6.842105263157895,8.461538461538462,7.636363636363637,6.0,2.9816513761467887,7.741935483870968,3.0000000000000004,6.279069767441861,6.7741935483871005,5.818181818181818,6.666666666666666,0.07518796992481203,1.348314606741573,7.142857142857141,7.87878787878788,Technical University of Munich
Greece,0.7505919834675161,0.15444015444015446,6.893203883495147,0.6666666666666659,1.296519295831183,0.8774253943766595,10.0,0.0,10.0,2.06482073661638,0.5263157894736842,6.538461538461538,3.3636363636363638,8.0,4.128440366972477,0.0,3.0000000000000004,2.0930232558139537,7.096774193548388,8.181818181818182,5.294117647058823,0.3007518796992481,1.5730337078651688,0.0,1.691919191919192,National Technical University of Athens
Hungary,0.6948809575063503,1.3513513513513513,5.048543689320387,1.9999999999999987,1.363897012443374,0.9001271531156907,1.1822660098522166,6.363636363636363,1.1111111111111112,1.7266092321583084,8.947368421052632,8.461538461538462,5.7272727272727275,2.0,5.137614678899082,4.516129032258064,0.0,4.883720930232558,1.3978494623656017,4.363636363636363,6.2745098039215685,0.2631578947368421,0.449438202247191,0.952380952380953,0.16414141414141423,Eötvös Loránd University
Ireland,7.819348172385585,0.07722007722007723,5.728155339805827,6.666666666666666,3.7900682378576755,3.432011847352967,0.5911330049261084,5.454545454545454,1.1111111111111112,6.253338851059027,10.0,8.269230769230768,8.09090909090909,6.0,1.055045871559633,4.193548387096774,0.5000000000000004,3.2558139534883725,8.279569892473111,9.09090909090909,6.666666666666666,0.11278195488721804,1.647940074906367,5.7142857142857135,5.315656565656565,"Trinity College Dublin, The University of Dublin"
Italy,2.095061781547337,0.23166023166023164,7.572815533980583,1.9999999999999987,3.7737255576581226,2.565352359272593,3.54679802955665,0.9090909090909092,4.444444444444445,4.051578194951281,6.315789473684211,4.038461538461538,5.545454545454546,4.0,4.770642201834862,3.225806451612903,6.5,5.5813953488372094,9.139784946236547,7.090909090909091,6.078431372549019,0.11278195488721804,1.1235955056179776,3.333333333333333,4.722222222222222,Politecnico di Milano
Japan,1.540362509148835,2.4710424710424714,6.893203883495147,5.333333333333332,3.6134526062274213,2.562073088496808,0.6403940886699508,9.545454545454547,0.7407407407407407,4.191903991572928,6.315789473684211,8.076923076923077,9.454545454545455,2.0,3.7614678899082565,6.451612903225806,0.9999999999999998,0.9302325581395349,10.0,0.5454545454545454,6.862745098039216,0.0,1.404494382022472,1.4285714285714275,7.739898989898989,The University of Tokyo
South Korea,1.6287940758599904,0.9652509652509653,0.0,2.666666666666666,2.3857445954469867,3.3399506351527695,0.7389162561576355,4.545454545454545,0.0,4.839923253451714,1.5789473684210527,9.038461538461538,9.454545454545455,4.0,10.0,4.838709677419355,8.5,6.511627906976745,8.817204301075261,0.0,7.8431372549019605,0.2255639097744361,1.404494382022472,0.0,7.765151515151515,Seoul National University
Lithuania,1.132991776811469,4.555984555984557,3.5922330097087367,2.666666666666666,3.0698434543265094,1.2653688802586562,2.397931193671238,7.272727272727273,2.3148148148148144,2.9308528648282604,6.315789473684211,10.0,5.818181818181818,6.0,2.293577981651376,5.161290322580645,6.0,1.8604651162790697,1.3978494623656017,2.1818181818181817,3.9215686274509802,0.8646616541353382,0.26217228464419473,2.8571428571428594,0.7954545454545456,Vilnius University 
Luxembourg,10.0,0.038610038610038616,5.825242718446601,6.0,8.172486954527209,10.0,0.39408866995073905,5.0,1.574074074074074,9.334487039614762,7.368421052631579,6.153846153846154,5.545454545454546,0.0,2.0642201834862384,5.806451612903226,2.5,9.534883720930234,8.172043010752688,6.909090909090909,8.823529411764707,0.0,0.9363295880149813,7.6190476190476195,1.426767676767677,University of Luxembourg
Mexico,0.0,10.0,3.009708737864079,0.0,0.0,0.0,1.2807881773399017,1.3636363636363635,0.09259259259259259,0.0,0.0,0.0,0.0,0.0,6.7889908256880735,2.5806451612903225,10.0,3.2558139534883725,0.0,5.818181818181818,0.0,10.0,10.0,0.952380952380953,5.126262626262625,Universidad Nacional Autónoma de México (UNAM)
Netherlands,4.17626038661902,0.038610038610038616,4.75728155339806,6.0,5.365846665519812,2.031222434070073,0.541871921182266,10.0,0.8333333333333333,8.012866333095069,8.947368421052632,7.5,7.818181818181818,8.0,3.0733944954128436,7.741935483870968,7.000000000000001,6.976744186046512,7.634408602150538,7.454545454545455,8.03921568627451,0.15037593984962402,0.0,8.095238095238095,7.095959595959595,Delft University of Technology
New Zealand,2.865802729581952,0.7206859421440169,10.0,8.666666666666666,6.524169963874076,5.086846942946593,1.5270935960591134,9.545454545454547,0.37037037037037035,5.462360332568376,9.473684210526315,7.5,7.909090909090909,6.0,0.2293577981651376,5.806451612903226,6.5,7.674418604651163,7.526881720430099,9.454545454545455,4.705882352941177,0.41353383458646614,5.131086142322098,7.142857142857141,6.174242424242424,The University of Auckland
Norway,6.837818056572092,0.0,2.9126213592233006,6.666666666666666,6.558575606399449,2.258573701644589,0.6896551724137931,8.636363636363637,0.8333333333333333,7.439524472367481,10.0,7.6923076923076925,7.363636363636363,6.0,0.5504587155963303,10.0,5.000000000000001,6.7441860465116275,8.494623655913975,7.454545454545455,10.0,0.15037593984962402,0.4119850187265917,7.142857142857141,4.457070707070707,University of Oslo
Poland,0.6686184182201748,0.888030888030888,6.310679611650485,0.0,2.1234015711910086,1.8542798867366597,1.7733990147783252,5.909090909090909,0.5555555555555556,3.0655355328994394,8.947368421052632,9.807692307692307,8.818181818181818,6.0,7.935779816513762,4.838709677419355,7.000000000000001,4.4186046511627906,3.1182795698924752,4.7272727272727275,5.686274509803921,0.11278195488721804,1.460674157303371,1.4285714285714275,2.3989898989898983,University of Warsaw 
Portugal,1.1813837344469795,0.34749034749034746,4.75728155339806,3.999999999999999,2.468031423820173,2.108360087687136,3.3004926108374377,5.909090909090909,2.1296296296296293,2.291110191490162,5.263157894736842,2.5,6.909090909090909,4.0,1.284403669724771,7.096774193548388,1.5000000000000002,0.0,7.204301075268812,2.909090909090909,8.03921568627451,0.18796992481203004,1.9850187265917603,0.0,2.3737373737373737,University of Lisbon 
Slovenia,1.6168252464803892,0.07722007722007723,3.398058252427184,3.333333333333333,2.5749756293365444,1.8550277905978039,2.216748768472906,6.8181818181818175,1.759259259259259,4.743049546668673,9.473684210526315,9.230769230769232,8.0,6.0,5.275229357798165,8.387096774193548,6.5,0.9302325581395349,6.989247311827949,6.0,9.607843137254902,0.07518796992481203,1.9850187265917603,3.333333333333333,0.0,University of Ljubljana
Spain,1.6184612735178885,0.11583011583011582,6.796116504854368,5.333333333333332,3.1211652044268594,3.388207693516428,7.093596059113301,2.727272727272727,4.629629629629629,4.08035815055867,8.421052631578947,4.038461538461538,7.636363636363637,6.0,2.0642201834862384,2.903225806451613,3.0000000000000004,5.348837209302325,9.46236559139785,7.454545454545455,7.450980392156863,0.18796992481203004,0.8239700374531835,3.333333333333333,3.80050505050505,Complutense University of Madrid
Sweden,3.726697378051405,0.0,5.242718446601944,3.999999999999999,5.006307701129652,3.501514240077734,1.4778325123152711,8.636363636363637,0.9259259259259258,5.791730935630714,8.947368421052632,8.076923076923077,7.909090909090909,10.0,0.1376146788990825,9.67741935483871,4.0,8.837209302325581,8.709677419354838,7.636363636363637,7.254901960784314,0.33834586466165417,0.22471910112359553,7.142857142857141,5.66919191919192,KTH Royal Institute of Technology 
United Kingdom,3.0848581392345116,0.19305019305019305,8.252427184466018,6.0,4.811055679798153,5.204900690874855,0.9359605911330049,8.636363636363637,0.8333333333333333,5.815620179827697,8.421052631578947,7.6923076923076925,7.909090909090909,4.0,2.110091743119266,4.838709677419355,9.5,4.4186046511627906,6.666666666666662,7.090909090909091,7.058823529411765,0.0,3.9325842696629216,4.761904761904761,9.81060606060606,Imperial College London
United States,6.038145261979592,0.038610038610038616,3.4951456310679623,8.666666666666666,10.0,7.04679229524721,1.3793103448275863,5.0,0.4629629629629629,10.0,8.947368421052632,9.615384615384615,7.181818181818182,4.0,1.0091743119266057,6.774193548387096,9.5,3.7209302325581395,4.086021505376351,9.818181818181818,7.058823529411765,2.180451127819549,3.7827715355805243,5.7142857142857135,10.0,Massachusetts Institute of Technology (MIT) 